Country,2002,2003,2004
"Afghanistan, Islamic Rep. of",,13.24,11.16
Albania,3.65,5.2,3.15
Algeria,1.32,8.33,12.25
Angola,142.81,93.93,33.44
Anguilla,5.65,2.07,3.82
Antigua and Barbuda,0.69,-0.97,1.63
Argentina,29.99,10.78,9.21
"Armenia, Rep. of",-3.23,3.82,1.67
"Aruba, Kingdom of the Netherlands",4.5,2.11,2.16
Australia,3.1,3.03,3.66
Austria,1.15,1.31,1.74
"Azerbaijan, Rep. of",4.21,6.96,9.25
"Bahamas, The",3.96,1.15,1.19
"Bahrain, Kingdom of",1.02,8.6,10.99
Bangladesh,3.9,4.39,4.68
Barbados,0.9,1.12,5.82
"Belarus, Rep. of",44.89,30.69,22.68
Belgium,1.64,1.85,1.92
Belize,1.76,-2.86,2.07
Benin,3.55,3.06,0.77
Bhutan,5.09,3.89,3.44
Bolivia,2.82,6.33,7.97
Botswana,1.19,3.26,10.08
Brazil,9.8,14.09,7.75
Brunei Darussalam,0.37,6.11,15.89
Bulgaria,3.77,2.27,5.65
Burkina Faso,3.1,1.41,0.09
Burundi,3.09,7.91,14.31
Cabo Verde,-0.32,1.78,-0.62
Cambodia,0.71,1.8,4.82
Cameroon,1.84,0.2,1.99
Canada,1.24,3.26,3.27
Central African Rep.,1.77,3.15,0.29
Chad,1.91,0.06,9.75
Chile,3.39,4.58,7.85
"China, P.R.: Hong Kong",-3.4,-6.01,-3.59
"China, P.R.: Macao",-2.37,-2.12,0.62
"China, P.R.: Mainland",0.71,2.8,6.82
Colombia,5.97,6.83,7.28
"Comoros, Union of the",3.82,4.93,0.44
"Congo, Dem. Rep. of the",31.72,13.42,6.37
"Congo, Rep. of",-1.74,-4.25,16.81
Costa Rica,9.86,10.72,13.45
Côte d'Ivoire,6.67,4.8,-2.89
"Croatia, Rep. of",3.86,4.3,3.61
Cyprus,0.3,5.39,2.71
Czech Rep.,2.72,1.16,3.87
Denmark,2.35,1.48,2.1
Djibouti,0,2.01,3.29
Dominica,0.79,-3.12,3.79
Dominican Rep.,6.92,33.46,45.17
Ecuador,12.09,10.59,4.26
"Egypt, Arab Rep. of",2.37,6.78,11.67
El Salvador,1.5,2.97,2.72
"Equatorial Guinea, Rep. of",-2.03,33.05,10.18
"Eritrea, The State of",16.15,21.87,24.8
"Estonia, Rep. of",4.81,3.9,4.67
"Eswatini, Kingdom of",8.91,6.01,3.87
"Ethiopia, The Federal Dem. Rep. of",-3.71,12.69,5.77
Euro Area,2.46,2.24,1.93
"Fiji, Rep. of",3.32,8.09,2.14
Finland,0.94,0.19,0.6
France,2.07,1.86,1.62
Gabon,0.42,0.32,7.31
"Gambia, The",16.1,27.38,12.21
Georgia,5.92,3.42,8.43
Germany,1.38,1.33,1.1
Ghana,22.79,28.2,13.86
Greece,3.35,3.45,3.06
Grenada,0.37,-0.08,2.03
Guatemala,6.45,4.46,6.08
Guinea,1.79,17.39,16.33
Guinea-Bissau,3.45,-3.09,-1.39
Guyana,3.62,5.19,5.73
Haiti,9.99,26.9,21.51
Honduras,5.13,5.76,6.45
Hungary,8.09,5.44,5.09
Iceland,5.85,0.49,2.65
India,3.61,3.79,5.8
"Iran, Islamic Rep. of",23.58,12.35,23.66
Iraq,10.23,-55.56,15.73
Ireland,5.25,3.92,0.52
Israel,4.52,-0.33,0.15
Italy,3.27,3.15,2.67
Jamaica,10.52,11.62,12.86
Japan,-1.46,-1.62,-1.1
Jordan,0.45,2.32,3.65
"Kazakhstan, Rep. of",5.8,11.74,16.13
Kenya,1.32,6.56,7.17
Kiribati,4.92,2.64,1.71
"Korea, Rep. of",3.03,3.45,3.13
Kuwait,5.18,4.85,10.92
Kyrgyz Rep.,2.03,3.97,5.11
Lao People's Dem. Rep.,10.6,13.1,10.68
Latvia,5.1,4.94,6.78
"Lesotho, Kingdom of",9.92,2.48,6.3
Liberia,0,0,0
Libya,33.67,13.55,20.31
Lithuania,0.32,-0.81,2.69
Luxembourg,1.68,2.68,2.95
"Madagascar, Rep. of",14.93,2.76,14.3
Malawi,22.96,10.35,14.85
Malaysia,3.13,3.3,6.01
Maldives,1.73,1.31,10.06
Mali,3.51,-7.59,3.6
Malta,2.78,2.85,1.52
"Marshall Islands, Rep. of the",8.21,2.03,-0.53
"Mauritania, Islamic Rep. of",7.95,7.79,11.75
Mexico,5.5,4.04,7.96
"Micronesia, Federated States of",0.03,-0.4,1.05
Mongolia,5.76,9.73,17.55
Morocco,1.21,1.06,1.22
"Mozambique, Rep. of",14.47,5.2,7.12
Myanmar,24.38,22.94,14.58
Namibia,8.76,1.76,7.29
Nepal,3.93,3.07,4.17
"Netherlands, The",3.77,2.17,1.2
New Zealand,0.67,1.35,3.39
Nicaragua,3.25,5.33,9.05
Niger,2.79,-0.44,0.58
Nigeria,21.56,7.19,17.91
"North Macedonia, Republic of",0.94,1.65,-0.17
Norway,-1.63,2.87,5.84
Oman,4.7,10.34,13.01
Pakistan,2.57,4.56,7.63
"Palau, Rep. of",0.54,-2.93,2.15
Panama,1.65,1.11,1.98
Papua New Guinea,11.95,6.85,1.07
Paraguay,17.95,15.14,11.84
Peru,0.53,3.02,5.61
Philippines,4.16,3.2,5.52
"Poland, Rep. of",1.85,0.77,4.91
Portugal,4.19,3.43,2.4
Qatar,6.98,14.31,14.54
Romania,22.71,23.15,15.46
Russian Federation,15.62,13.88,20.28
Rwanda,-5.1,21.9,13.02
Samoa,1.48,2.55,7.07
"San Marino, Rep. of",2.34,2.46,1.99
"São Tomé and Príncipe, Dem. Rep. of",13.04,16.45,12.17
Saudi Arabia,5.96,2.32,11.06
Senegal,3.3,0.51,0.53
"Serbia, Rep. of",19.51,12.49,8.12
Seychelles,3.61,5.95,24.67
Sierra Leone,-3.92,13.13,12.81
Singapore,-1.25,-1.71,4.25
Slovak Rep.,3.94,5.33,5.74
"Slovenia, Rep. of",7.58,5.64,3.36
Solomon Islands,11.97,1.4,6.71
South Africa,12.24,5.79,6.53
Spain,4.08,3.93,3.88
Sri Lanka,8.36,5.15,8.8
St. Kitts and Nevis,3.86,2.09,4
St. Lucia,0.42,5.23,0.72
St. Vincent and the Grenadines,1.15,-2.83,3.56
Sudan,10.87,9.8,17.28
Suriname,31.14,22.44,13.28
Sweden,1.67,1.57,0.32
Switzerland,-0.25,1.13,0.34
Syrian Arab Rep.,4.52,-1.93,10.33
"Tajikistan, Rep. of",22.03,29.09,17.02
"Tanzania, United Rep. of",7.1,8.45,7.02
Thailand,1.69,3.13,3.95
Togo,5.03,-2.89,-1.91
Tonga,9.09,7.44,6.11
Trinidad and Tobago,-4.48,10.86,9.56
Tunisia,2.28,2.68,3.35
Turkey,37.57,23.32,12.45
Turkmenistan,8.39,12.14,8.35
Tuvalu,3.39,2.17,5.67
Uganda,2.84,6.56,7.36
Ukraine,5.34,8.17,14.99
United Arab Emirates,3.73,4.06,8.49
United Kingdom,2.04,2.08,2.39
United States,1.58,1.86,2.69
Uruguay,11.79,14.81,10.49
"Uzbekistan, Rep. of",45.45,26.72,16.04
Vanuatu,2.87,0.8,2.11
"Venezuela, Rep. Bolivariana de",33.02,34.93,33.95
Vietnam,3.96,6.67,8.18
"Yemen, Rep. of",8.71,10.89,14.11
Zambia,19.39,17.61,19.72
Zimbabwe,3.62,5.79,6.17
