Country,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3
Albania,-2.02,-1.22,0.43,0.12,2.49,0.29,1.59
Argentina,0.93,3.13,4.9,6.15,5.08,-0.95,11.49
"Armenia, Rep. of",-4.48,2.1,-5.89,7.44,-2.91,1.42,4.43
Australia,-1.29,-1.66,0.52,1.32,1.86,2.29,1.49
Austria,0.21,0.12,0.42,0.68,-0.19,-0.15,0.63
Belgium,-0.25,0.23,0.66,-0.21,0.35,1.38,0.37
Bolivia,14.93,-9.09,1.15,2.45,8.81,-3.93,3.86
Bosnia and Herzegovina,-0.57,-0.48,2.02,-2.55,1.13,1.03,1.29
Botswana,-4.43,5.96,-1.21,2.74,-1.15,5.73,4.48
Brazil,-2.48,1.39,1.51,6.75,-2.3,2.27,2.62
Bulgaria,1.88,4.07,-4.51,1.6,-0.21,-0.38,1.86
Chile,4.3,0.21,0.92,5.47,2.61,-1.42,3.61
"China, P.R.: Hong Kong",-1.14,-0.36,-0.74,1.83,-0.03,-3.21,3.31
"China, P.R.: Macao",-2.7,-6,-0.28,2.69,1.08,-6.22,0.05
"China, P.R.: Mainland",11.9,0.4,1.26,-10.23,15.5,2.1,1.77
Colombia,2.96,-1.93,4.75,-3.22,5.76,-2.42,2.47
Costa Rica,1.19,0.73,3.11,3.22,2.55,-1.8,0.8
"Croatia, Rep. of",0.01,1.61,0.74,-0.71,-0.47,1.12,0.82
Cyprus,-0.47,1.31,0.53,-0.22,0.19,1.44,0.73
Czech Rep.,2.35,-0.54,-1.15,1.79,-2.3,0.68,-0.53
Denmark,-1.56,0.69,1.28,-0.02,1.26,1.6,0.03
Dominican Rep.,-0.46,0.22,2.53,1.16,-0.08,2.7,1.38
Ecuador,-0.1,4.21,1.85,2.11,2.9,0.26,0.45
"Egypt, Arab Rep. of",0.73,1.38,14.24,-3.98,-1.08,1.2,15.49
El Salvador,-1.71,-0.29,0.03,1.92,-0.99,1.02,0.88
"Estonia, Rep. of",1.5,-1.84,0.05,-2.38,1.99,0.31,3.85
Euro Area,-1.24,0.39,-0.25,1.66,-1.38,0.54,0.09
Finland,1.49,-0.5,-0.29,0.48,-0.4,0.26,0.35
France,-0.5,-0.06,-0.31,0.73,-0.1,0.81,0.26
Georgia,1.77,-3.88,0.85,0.7,8.53,0,0
Germany,0.39,-0.22,1.05,0.68,-0.26,-1.18,1.34
Greece,-3.23,3.17,-0.87,4.05,-4.94,2.05,0.86
Guatemala,-1.55,-0.53,3.23,0.24,2.27,-1.04,3.18
Hungary,-0.08,0.14,-2.05,6.4,-3.48,1.26,0
Iceland,-4.09,4.56,3.3,3.2,2.1,-0.04,-1.51
India,5.84,2.47,4.02,0.09,3.5,0.95,3.87
Indonesia,-1.42,2.51,1.71,1.97,1.87,2.13,0.9
Ireland,-3.92,-0.97,-1.51,-0.25,-1.28,-1.42,0.7
Israel,1.41,2.63,-0.76,-1.6,1.47,1.75,0.7
Italy,-5.06,1.25,-0.46,5.54,-5.91,1.7,-0.37
Jamaica,1.82,-1.92,3.92,5.88,3.18,-1.63,-0.32
Japan,-3.57,2.33,-3.66,2.78,-3.61,2.73,-3.45
"Korea, Rep. of",1,1.2,1.51,-1.4,1.77,0.67,1.4
Kyrgyz Rep.,7.29,5.8,-21.8,18.57,6.77,7.52,-20.5
Latvia,-3.42,-2.69,-0.77,-4.51,5.14,-2.53,3.34
Lithuania,-2.38,2.22,-9.72,4.85,2.58,2.32,-3.42
Luxembourg,-2.85,1.32,0.14,4.14,-4,3.63,0.58
Malaysia,-4.21,-1.43,1.53,3.94,3.69,-1.62,1.22
Malta,6.22,-0.12,-8.17,4.46,9.03,-1.28,-7.54
Mauritius,3.39,-1.13,-0.71,-2.71,6.52,-0.95,-2
Mexico,3.15,0.56,0.57,0.78,2.97,-0.44,1
"Moldova, Rep. of",,,,,,1.4,-1.34
Mongolia,,,,,,0,0
Morocco,2.3,-2.61,-0.15,0.63,1.37,-0.27,-0.35
"Netherlands, The",0.37,-0.03,-1.29,-0.01,0.94,1.57,-1.09
New Zealand,0.71,-2.18,1.64,0.02,1.17,-1.01,2.92
"North Macedonia, Republic of",-11.91,6.42,2.51,-0.74,-6.91,9.08,-0.43
Norway,-6.91,3.75,1.24,-0.71,1.25,2.95,2.09
Paraguay,-0.42,0.05,2.62,1.47,-0.62,1.7,1.27
Peru,-4.29,3.8,1.92,6.4,-5.99,4.32,2.09
Philippines,-3.14,0.31,2.87,4.57,-3.08,0.45,2.1
"Poland, Rep. of",2.08,0.49,1.26,-2.17,1.67,1.23,-0.04
