Country,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1
Albania,0.72,0.97,0.11,0.36,0.66,-1.63,2.36,-1.13,1.13,-1.58
Argentina,9.33,12.1,5.91,9.69,7.59,3.75,-0.64,15.16,7.5,11.04
"Armenia, Rep. of",1.28,-0.51,0.27,-3.8,4.9,0.87,-1.42,-5.08,1.96,0.57
Australia,0.84,0.11,-0.85,-0.3,0.39,-0.3,-0.69,0.27,-0.13,-0.4
Austria,-0.03,1.08,1.1,-0.05,0.46,0.66,1.16,0.12,0.4,0.83
Belgium,0.57,0.09,-0.04,0.84,0.02,0.25,0.21,0.89,0.21,-0.48
Bolivia,-0.39,7.6,-6.62,1.92,-1.42,5.5,-10.08,0.11,-1.13,5.47
Bosnia and Herzegovina,-4.45,1.04,-0.79,4.56,-0.98,-2.56,1.4,4.25,-1.98,-1.32
Botswana,-0.88,8.48,5.83,-5.36,3.14,0.11,1.83,-32.14,0.23,-9.24
Brazil,5.64,-0.34,2.32,0.88,4.01,-0.48,2.46,1.59,5.03,-0.73
Bulgaria,3,-0.91,-1.32,3.76,-0.99,2.34,0.92,-2.98,1.37,4.18
Chile,2.56,3.16,-0.93,1.04,2.56,3.47,-1.68,0.3,1.54,3.75
"China, P.R.: Hong Kong",0.78,-1.61,0.58,2.37,1.41,-0.11,0.57,1.49,0.77,-0.79
"China, P.R.: Macao",2.85,2.95,1.67,1.22,-2.33,0.9,-0.36,0.55,1.07,-0.22
"China, P.R.: Mainland",-0.37,-0.11,0.27,1.34,-1.31,0.09,0.54,0.46,-1.47,0.63
Colombia,-3.17,6.11,-3.79,2.23,-2.6,5.34,-3.65,4.49,-1.72,6.07
Costa Rica,3.65,0.89,1.55,0.31,3.52,1.2,-1.63,-0.55,3.71,-0.08
"Croatia, Rep. of",-0.28,-0.36,0.85,0.57,-0.52,-0.3,0.63,-0.62,0.65,-1.78
Cyprus,-1.95,-1.55,1.39,1.62,-2.48,-0.88,0.57,1.26,-1.49,-2.59
Czech Rep.,1.64,-0.28,1.09,0.36,1.11,-0.93,0.78,0.05,0.89,-0.2
Denmark,-0.7,1.4,0.3,-0.64,0.18,1,-0.31,-0.16,-0.51,1.05
Dominican Rep.,3.41,-1.89,0.47,-0.59,3.5,-2.3,-0.51,-0.97,5.89,-2.86
Ecuador,0.66,1.99,0.53,0.18,-2.3,-1.6,1.72,-0.96,-0.72,2.96
"Egypt, Arab Rep. of",-1.55,,,,,,,,,
