Date,Value
15/04/2016,17897.46
14/04/2016,17926.43
13/04/2016,17908.28
12/04/2016,17721.25
11/04/2016,17556.41
08/04/2016,17576.96
07/04/2016,17541.96
06/04/2016,17716.05
05/04/2016,17603.32
04/04/2016,17737
01/04/2016,17792.75
31/03/2016,17685.09
30/03/2016,17716.66
29/03/2016,17633.11
28/03/2016,17535.39
24/03/2016,17515.73
23/03/2016,17502.59
22/03/2016,17582.57
21/03/2016,17623.87
18/03/2016,17602.3
17/03/2016,17481.49
16/03/2016,17325.76
15/03/2016,17251.53
14/03/2016,17229.13
11/03/2016,17213.31
10/03/2016,16995.13
09/03/2016,17000.36
08/03/2016,16964.1
07/03/2016,17073.95
04/03/2016,17006.77
03/03/2016,16943.9
02/03/2016,16899.32
01/03/2016,16865.08
29/02/2016,16516.5
26/02/2016,16639.97
25/02/2016,16697.29
24/02/2016,16484.99
23/02/2016,16431.78
22/02/2016,16620.66
19/02/2016,16391.99
18/02/2016,16413.43
17/02/2016,16453.83
16/02/2016,16196.41
12/02/2016,15973.84
11/02/2016,15660.18
10/02/2016,15914.74
09/02/2016,16014.38
08/02/2016,16027.05
05/02/2016,16204.97
04/02/2016,16416.58
03/02/2016,16336.66
02/02/2016,16153.54
01/02/2016,16449.18
29/01/2016,16466.3
28/01/2016,16069.64
27/01/2016,15944.46
26/01/2016,16167.23
25/01/2016,15885.22
22/01/2016,16093.51
21/01/2016,15882.68
20/01/2016,15766.74
19/01/2016,16016.02
15/01/2016,15988.08
14/01/2016,16379.05
13/01/2016,16151.41
12/01/2016,16516.22
11/01/2016,16398.57
08/01/2016,16346.45
07/01/2016,16514.1
06/01/2016,16906.51
05/01/2016,17158.66
04/01/2016,17148.94
31/12/2015,17425.03
30/12/2015,17603.87
29/12/2015,17720.98
28/12/2015,17528.27
24/12/2015,17552.17
23/12/2015,17602.61
22/12/2015,17417.27
21/12/2015,17251.62
18/12/2015,17128.55
17/12/2015,17495.84
16/12/2015,17749.09
15/12/2015,17524.91
14/12/2015,17368.5
11/12/2015,17265.21
10/12/2015,17574.75
09/12/2015,17492.3
08/12/2015,17568
07/12/2015,17730.51
04/12/2015,17847.63
03/12/2015,17477.67
02/12/2015,17729.68
01/12/2015,17888.35
30/11/2015,17719.92
27/11/2015,17798.49
25/11/2015,17813.39
24/11/2015,17812.19
23/11/2015,17792.68
20/11/2015,17823.81
19/11/2015,17732.75
18/11/2015,17737.16
17/11/2015,17489.5
16/11/2015,17483.01
13/11/2015,17245.24
12/11/2015,17448.07
11/11/2015,17702.22
10/11/2015,17758.21
09/11/2015,17730.48
06/11/2015,17910.33
05/11/2015,17863.43
04/11/2015,17867.58
03/11/2015,17918.15
02/11/2015,17828.76
30/10/2015,17663.54
29/10/2015,17755.8
28/10/2015,17779.52
27/10/2015,17581.43
26/10/2015,17623.05
23/10/2015,17646.7
22/10/2015,17489.16
21/10/2015,17168.61
20/10/2015,17217.11
19/10/2015,17230.54
16/10/2015,17215.97
15/10/2015,17141.75
14/10/2015,16924.75
13/10/2015,17081.89
12/10/2015,17131.86
09/10/2015,17084.49
08/10/2015,17050.75
07/10/2015,16912.29
06/10/2015,16790.19
05/10/2015,16776.43
02/10/2015,16472.37
01/10/2015,16272.01
30/09/2015,16284.7
29/09/2015,16049.13
28/09/2015,16001.89
25/09/2015,16314.67
24/09/2015,16201.32
23/09/2015,16279.89
22/09/2015,16330.47
21/09/2015,16510.19
18/09/2015,16384.58
17/09/2015,16674.74
16/09/2015,16739.95
15/09/2015,16599.85
14/09/2015,16370.96
11/09/2015,16433.09
10/09/2015,16330.4
09/09/2015,16253.57
08/09/2015,16492.68
04/09/2015,16102.38
03/09/2015,16374.76
02/09/2015,16351.38
01/09/2015,16058.35
31/08/2015,16528.03
28/08/2015,16643.01
27/08/2015,16654.77
26/08/2015,16285.51
25/08/2015,15666.44
24/08/2015,15871.35
21/08/2015,16459.75
20/08/2015,16990.69
19/08/2015,17348.73
18/08/2015,17511.34
17/08/2015,17545.18
14/08/2015,17477.4
13/08/2015,17408.25
12/08/2015,17402.51
11/08/2015,17402.84
10/08/2015,17615.17
07/08/2015,17373.38
06/08/2015,17419.75
05/08/2015,17540.47
04/08/2015,17550.69
03/08/2015,17598.2
31/07/2015,17689.86
30/07/2015,17745.98
29/07/2015,17751.39
28/07/2015,17630.27
27/07/2015,17440.59
24/07/2015,17568.53
23/07/2015,17731.92
22/07/2015,17851.04
21/07/2015,17919.29
20/07/2015,18100.41
17/07/2015,18086.45
16/07/2015,18120.25
15/07/2015,18050.17
14/07/2015,18053.58
13/07/2015,17977.68
10/07/2015,17760.41
09/07/2015,17548.62
08/07/2015,17515.42
07/07/2015,17776.91
06/07/2015,17683.58
02/07/2015,17730.11
01/07/2015,17757.91
30/06/2015,17619.51
29/06/2015,17596.35
26/06/2015,17946.68
25/06/2015,17890.36
24/06/2015,17966.07
23/06/2015,18144.07
22/06/2015,18119.78
19/06/2015,18015.95
18/06/2015,18115.84
17/06/2015,17935.74
16/06/2015,17904.48
15/06/2015,17791.17
12/06/2015,17898.84
11/06/2015,18039.37
10/06/2015,18000.4
09/06/2015,17764.04
08/06/2015,17766.55
05/06/2015,17849.46
04/06/2015,17905.58
03/06/2015,18076.27
02/06/2015,18011.94
01/06/2015,18040.37
29/05/2015,18010.68
28/05/2015,18126.12
27/05/2015,18162.99
26/05/2015,18041.54
22/05/2015,18232.02
21/05/2015,18285.74
20/05/2015,18285.4
19/05/2015,18312.39
18/05/2015,18298.88
15/05/2015,18272.56
14/05/2015,18252.24
13/05/2015,18060.49
12/05/2015,18068.23
11/05/2015,18105.17
08/05/2015,18191.11
07/05/2015,17924.06
06/05/2015,17841.98
05/05/2015,17928.2
04/05/2015,18070.4
01/05/2015,18024.06
30/04/2015,17840.52
29/04/2015,18035.53
28/04/2015,18110.14
27/04/2015,18037.97
24/04/2015,18080.14
23/04/2015,18058.69
22/04/2015,18038.27
21/04/2015,17949.59
20/04/2015,18034.93
17/04/2015,17826.3
16/04/2015,18105.77
15/04/2015,18112.61
14/04/2015,18036.7
13/04/2015,17977.04
10/04/2015,18057.65
09/04/2015,17958.73
08/04/2015,17902.51
07/04/2015,17875.42
06/04/2015,17880.85
02/04/2015,17763.24
01/04/2015,17698.18
