ids,rooftop_ids,rooftop_region,area (m^2),effective area (m^2),rooftop_quality,rooftop_flatness,x coords,y coords,x mean,y mean,first energy generated (kWh),first year cost savings (£),first year co2 savings (kg),25 year energy savings (kWh),25 year savings (£),25 year co2 savings (kg),break even time (years),roi after 25 years (%)
0,1,1,56.595,67.914,Good,Inclined,"[6, 24, 28]","[980, 975, 996]",19.33333333,983.6666667,13716.3642,3264.49468,3881.731069,304748.3152,89750.43843,86243.7732,5,534.3347535
1,1,2,338.1,236.67,Intermediate,Inclined,"[27, 42, 73, 39]","[966, 937, 934, 994]",45.25,957.75,73303.461,17446.22372,20744.87946,1628646.332,479647.3517,460906.9119,5,467.4621138
2,2,1,72.03,86.436,Good,Inclined,"[52, 67, 80]","[895, 885, 906]",66.33333333,895.3333333,17457.1908,4154.81141,4940.384996,387861.4921,114227.8307,109764.8023,5,534.3347535
3,2,2,377.545,264.2815,Intermediate,Inclined,"[70, 91, 116, 83]","[886, 840, 837, 904]",90,866.75,81855.53145,19481.61649,23165.1154,1818655.07,535606.2094,514679.3849,5,467.4621138
4,3,1,42.875,51.45,Good,Inclined,"[103, 128, 118]","[787, 777, 791]",116.3333333,785,10391.185,2473.10203,2940.705355,230869.9358,67992.75639,65336.19182,5,534.3347535
5,3,2,37.485,26.2395,Intermediate,Inclined,"[135, 126, 134, 143]","[752, 765, 770, 757]",134.5,761,8127.12285,1934.255238,2299.975767,180567.3107,53178.29334,51100.54892,6,467.4621138
6,3,3,24.255,29.106,Good,Inclined,"[95, 88, 77]","[767, 778, 775]",86.66666667,773.3333333,5878.4418,1399.069148,1663.599029,130606.4208,38464.47361,36961.61709,5,534.3347535
7,3,4,15.435,18.522,Good,Inclined,"[93, 103, 100, 89]","[776, 780, 785, 781]",96.25,780.5,3740.8266,890.3167308,1058.653928,83113.17687,24477.3923,23521.02905,5,534.3347535
8,4,1,59.535,71.442,Good,Inclined,"[45, 64, 70, 43]","[763, 768, 781, 770]",55.5,770.5,14428.9026,3434.078819,4083.379436,320579.3965,94412.79887,90723.96921,5,534.3347535
9,4,2,27.93,19.551,Intermediate,Inclined,"[71, 66, 71, 78]","[760, 770, 779, 766]",71.5,768.75,6055.5033,1441.209785,1713.707434,134540.3491,39623.04209,38074.91881,6,467.4621138
10,5,1,156.31,109.417,Intermediate,Inclined,"[106, 123, 150, 141]","[701, 688, 701, 717]",130,701.75,33889.5711,8065.717922,9590.748621,752953.8838,221750.0075,213085.9491,5,467.4621138
11,5,2,59.29,41.503,Intermediate,Inclined,"[135, 145, 157, 151]","[689, 670, 677, 692]",147,682,12854.6649,3059.410246,3637.870167,285603.1973,84112.07181,80825.70483,5,467.4621138
12,6,1,47.04,56.448,Good,Inclined,"[17, 24, 41]","[628, 644, 640]",27.33333333,637.3333333,11400.6144,2713.346227,3226.373875,253297.3009,74597.76701,71683.13617,5,534.3347535
13,6,2,67.4975,47.24825,Intermediate,Inclined,"[39, 41, 58, 57]","[625, 647, 653, 624]",48.75,637.25,14634.13298,3482.923648,4141.459632,325139.1771,95755.68506,92014.38711,5,467.4621138
14,7,1,202.125,141.4875,Intermediate,Inclined,"[194, 216, 238, 244]","[504, 494, 500, 527]",223,506.25,43822.72125,10429.80766,12401.83011,973647.2635,286745.6994,275542.1756,5,467.4621138
15,7,2,201.2675,140.88725,Intermediate,Inclined,"[243, 260, 274, 246]","[502, 479, 472, 525]",255.75,494.5,43636.80668,10385.55999,12349.21629,969516.6387,285529.2025,274373.2088,5,467.4621138
16,7,3,92.61,64.827,Intermediate,Inclined,"[224, 213, 231, 241]","[461, 485, 481, 458]",227.25,471.25,20078.7741,4778.748236,5682.29307,446107.4734,131381.6659,126248.415,5,467.4621138
17,8,1,149.94,104.958,Intermediate,Inclined,"[194, 173, 160, 179]","[427, 430, 452, 463]",176.5,443,32508.4914,7737.020953,9199.903066,722269.2427,212713.1734,204402.1957,5,467.4621138
